Timestamp, Serial Number, Channel, Data, Unit of Measure
2023-May-11 01:46, 210993897, 2, 50.03, °C
2023-May-11 01:51, 210993897, 1, 49.9, °C
2023-May-11 01:51, 210993897, 2, 50.05, °C
2023-May-11 01:56, 210993897, 1, 49.91, °C
2023-May-11 01:56, 210993897, 2, 50.06, °C
2023-May-11 02:01, 210993897, 1, 49.91, °C
2023-May-11 02:01, 210993897, 2, 50.06, °C
2023-May-11 02:06, 210993897, 1, 49.92, °C
2023-May-11 02:06, 210993897, 2, 50.07, °C
2023-May-11 02:11, 210993897, 1, 49.94, °C
2023-May-11 02:11, 210993897, 2, 50.09, °C
2023-May-11 02:16, 210993897, 1, 49.95, °C
2023-May-11 02:16, 210993897, 2, 50.1, °C
2023-May-11 02:21, 210993897, 1, 49.95, °C
2023-May-11 02:21, 210993897, 2, 50.11, °C
2023-May-11 02:26, 210993897, 1, 49.98, °C
2023-May-11 02:26, 210993897, 2, 50.14, °C
2023-May-11 02:32, 210993897, 1, 50.02, °C
2023-May-11 02:32, 210993897, 2, 50.18, °C
2023-May-11 02:37, 210993897, 1, 50.04, °C
2023-May-11 02:37, 210993897, 2, 50.19, °C
2023-May-11 02:42, 210993897, 1, 50.05, °C
2023-May-11 02:42, 210993897, 2, 50.2, °C
2023-May-11 02:47, 210993897, 1, 50.05, °C
2023-May-11 02:47, 210993897, 2, 50.2, °C
2023-May-11 02:52, 210993897, 1, 50.05, °C
2023-May-11 02:52, 210993897, 2, 50.2, °C
2023-May-11 02:57, 210993897, 1, 50.07, °C
2023-May-11 02:57, 210993897, 2, 50.22, °C
2023-May-11 03:02, 210993897, 1, 50.1, °C
2023-May-11 03:02, 210993897, 2, 50.25, °C
2023-May-11 03:07, 210993897, 1, 50.11, °C
2023-May-11 03:07, 210993897, 2, 50.26, °C
2023-May-11 03:12, 210993897, 1, 50.12, °C
2023-May-11 03:12, 210993897, 2, 50.27, °C
2023-May-11 03:17, 210993897, 1, 50.13, °C
2023-May-11 03:17, 210993897, 2, 50.28, °C
2023-May-11 03:22, 210993897, 1, 50.15, °C
