Time,B,C,Ab L,Ab R,AUR,ALR,ALL,AUL
1970-02-01 12:57:30,,,,,,,,
1970-02-01 12:57:33,,,,,,,,
1970-02-01 12:57:34,,,,,,,,
1970-02-01 12:57:35,,,,,,,,
1970-02-01 12:57:36,,,,,,,,
1970-02-01 12:57:39,,,,,,,,
1970-02-01 12:57:40,,,,,,,,
1970-02-01 12:57:41,,,,,,,,
1970-02-01 12:57:42,,,,,,,,
1970-02-01 12:57:44,,,,,,,,
1970-02-01 12:57:45,,,,,,,,
1970-02-01 12:57:46,,,,,,,,
1970-02-01 12:57:48,,,,,,,,
1970-02-01 12:57:51,,,,,,,,
1970-02-01 12:57:53,,,,,,,,
1970-02-01 12:57:54,,,,,,,,
1970-02-01 12:57:55,,,,,,,,
1970-02-01 12:57:56,,,,,,,,
1970-02-01 12:57:57,,,,,,,,
1970-02-01 12:57:59,,,-4.8,,,,,
1970-02-01 12:58:00,,,,,,,,
1970-02-01 12:58:02,,,,,,,,
1970-02-01 12:58:03,,,,,,,,
1970-02-01 12:58:04,,,,,,,,
1970-02-01 12:58:07,,,,,,,,
1970-02-01 12:58:08,,,,,,,,
1970-02-01 12:58:09,,,,,,,,
1970-02-01 12:58:10,,,,,,,,
1970-02-01 12:58:11,,,,,,,,
1970-02-01 12:58:12,,,,,,,,
1970-02-01 12:58:15,,,,,,,,
1970-02-01 12:58:16,,,,,,,,
1970-02-01 12:58:18,,,,,,,,
1970-02-01 12:58:21,,,,,,,,
1970-02-01 12:58:22,,,,,,,,
1970-02-01 12:58:23,,,-5.83,,,,,
1970-02-01 12:58:26,,,,,,,,
1970-02-01 12:58:27,,,,,,,,
1970-02-01 12:58:28,,,,,,,,
1970-02-01 12:58:29,,,,,,,,
1970-02-01 12:58:31,,,,,,,,
1970-02-01 12:58:32,,,,,,,,
1970-02-01 12:58:34,,,,,,,,
1970-02-01 12:58:36,,,,,,,,
1970-02-01 12:58:37,,,,,,,,
1970-02-01 12:58:38,,,-6.73,,,,,
1970-02-01 12:58:40,,,,,,,,
1970-02-01 12:58:41,,,,,,,,
1970-02-01 12:58:43,,,,,,,,
1970-02-01 12:58:44,,,,,,,,
1970-02-01 12:58:45,,,,,,,,
1970-02-01 12:58:46,,,,,,,,
1970-02-01 12:58:47,,,-6.33,,,,,
1970-02-01 12:58:48,,,,,,,,
1970-02-01 12:58:49,,,,,,,,
1970-02-01 12:58:50,,,,,,,,
1970-02-01 12:58:52,,,,,,,,
1970-02-01 12:58:53,,,,,,,,
1970-02-01 12:58:55,,,,,,,,
1970-02-01 12:58:56,,,,,,,,
1970-02-01 12:58:59,,,,,,,,
1970-02-01 12:59:00,,,,,,,,
1970-02-01 12:59:02,,,,,,,,
1970-02-01 12:59:03,,,,,,,,
1970-02-01 12:59:04,,,,,,,,
1970-02-01 12:59:05,,,-6.6,,,,,
1970-02-01 12:59:06,,,,,,,,
1970-02-01 12:59:09,,,,,,,,
1970-02-01 12:59:10,,,,,,,,
1970-02-01 12:59:11,,,,,,,,
1970-02-01 12:59:12,,,,,,,,
1970-02-01 12:59:13,,,-6.08,,,,,
1970-02-01 12:59:14,,,,,,,,
1970-02-01 12:59:17,,,,,,,,
1970-02-01 12:59:18,,,,,,,,
1970-02-01 12:59:20,,,,,,,,
1970-02-01 12:59:24,,,,,,,,
1970-02-01 12:59:25,,,,,,,,
1970-02-01 12:59:29,,,,,,,,
1970-02-01 12:59:30,,,,,,,,
1970-02-01 12:59:31,,,,,,,,
1970-02-01 12:59:32,,,,,,,,
1970-02-01 12:59:33,,,,,,,,
1970-02-01 12:59:34,,,,,,,,
1970-02-01 12:59:35,,,,,,,,
1970-02-01 12:59:36,,,,,,,,
1970-02-01 12:59:37,,,,,,,,
1970-02-01 12:59:38,,,,,,,,
1970-02-01 12:59:39,,,,,,,,
1970-02-01 12:59:40,,,-5.82,,,,,
1970-02-01 12:59:41,,,-5.68,,,,,
1970-02-01 12:59:42,,,,,,,,
1970-02-01 12:59:46,,,,,,,,
1970-02-01 12:59:51,,,,,,,,
1970-02-01 12:59:52,,,,,,,,
1970-02-01 12:59:53,,,,,,,,
1970-02-01 12:59:54,,,,,,,,
1970-02-01 12:59:56,,,,,,,,
1970-02-01 12:59:58,,,,,,,,
1970-02-01 13:00:00,,,,,,,,
1970-02-01 13:00:01,,,,,,,,
1970-02-01 13:00:03,,,,,,,,
1970-02-01 13:00:04,,,,,,,,
1970-02-01 13:00:05,,,,,,,,
1970-02-01 13:00:09,,,,,,,,
1970-02-01 13:00:13,,,,,,,,
1970-02-01 13:00:14,,,,,,,,
1970-02-01 13:00:16,,,,,,,,
1970-02-01 13:00:17,,,-5.03,,,,,
1970-02-01 13:00:19,,,,,,,,
1970-02-01 13:00:21,,,,,,,,
1970-02-01 13:00:23,,,,,,,,
1970-02-01 13:00:24,,,,,,,,
1970-02-01 13:00:25,,,,,,,,
1970-02-01 13:00:28,,,,,,,,
1970-02-01 13:00:29,,,,,,,,
1970-02-01 13:00:31,,,-5.03,,,,,
1970-02-01 13:00:33,,,,,,,,
1970-02-01 13:00:35,,,,,,,,
1970-02-01 13:00:37,,,,,,,,
1970-02-01 13:00:38,,,,,,,,
1970-02-01 13:00:39,,,,,,,,
1970-02-01 13:00:40,,,,,,,,
1970-02-01 13:00:42,,,,,,,,
1970-02-01 13:00:46,,,,,,,,
1970-02-01 13:00:48,,,-5.18,,,,,
1970-02-01 13:00:49,,,-5.04,,,,,
1970-02-01 13:00:51,,,,,,,,
1970-02-01 13:00:52,,,,,,,,
1970-02-01 13:00:53,,,,,,,,
