Timestamp, Serial Number, Channel, Data, Unit of Measure
2023-May-10 08:14,210993897, 1,23.16, °C
2023-May-10 08:14,210993897, 2,23.31, °C
2023-May-10 08:19,210993897, 1,23.15, °C
2023-May-10 08:19,210993897, 2,23.3, °C
2023-May-10 08:24,210993897, 1,23.14, °C
2023-May-10 08:24,210993897, 2,23.29, °C
2023-May-10 08:29,210993897, 1,23.12, °C
2023-May-10 08:29,210993897, 2,23.27, °C
2023-May-10 08:34,210993897, 1,23.1, °C
2023-May-10 08:34,210993897, 2,23.25, °C
2023-May-10 08:39,210993897, 1,23.09, °C
2023-May-10 08:39,210993897, 2,23.24, °C
2023-May-10 08:45,210993897, 1,23.08, °C
2023-May-10 08:45,210993897, 2,23.23, °C
2023-May-10 08:50,210993897, 1,23.07, °C
2023-May-10 08:50,210993897, 2,23.22, °C
2023-May-10 08:55,210993897, 1,23.06, °C
2023-May-10 08:55,210993897, 2,23.2, °C
2023-May-10 09:00,210993897, 1,23.04, °C
2023-May-10 09:00,210993897, 2,23.18, °C
2023-May-10 09:05,210993897, 1,23.01, °C
2023-May-10 09:05,210993897, 2,23.17, °C
2023-May-10 09:10,210993897, 1,23.01, °C
2023-May-10 09:10,210993897, 2,23.16, °C
2023-May-10 09:15,210993897, 1,22.99, °C
2023-May-10 09:15,210993897, 2,23.15, °C
2023-May-10 09:20,210993897, 1,22.98, °C
2023-May-10 09:20,210993897, 2,23.13, °C
2023-May-10 09:25,210993897, 1,22.96, °C
2023-May-10 09:25,210993897, 2,23.11, °C
2023-May-10 09:30,210993897, 1,22.94, °C
2023-May-10 09:30,210993897, 2,23.08, °C
2023-May-10 09:35,210993897, 1,22.91, °C
2023-May-10 09:35,210993897, 2,23.06, °C
2023-May-10 09:40,210993897, 1,22.9, °C
2023-May-10 09:40,210993897, 2,23.04, °C
2023-May-10 09:45,210993897, 1,22.89, °C
2023-May-10 09:45,210993897, 2,23.03, °C
2023-May-10 09:50,210993897, 1,22.88, °C
2023-May-10 09:50,210993897, 2,23.02, °C
2023-May-10 09:55,210993897, 1,22.86, °C
2023-May-10 09:55,210993897, 2,23.01, °C
2023-May-10 10:00,210993897, 1,22.84, °C
2023-May-10 10:00,210993897, 2,22.99, °C
2023-May-10 10:05,210993897, 1,22.82, °C
2023-May-10 10:05,210993897, 2,22.97, °C
2023-May-10 10:11,210993897, 1,22.8, °C
2023-May-10 10:11,210993897, 2,22.95, °C
2023-May-10 10:16,210993897, 1,22.78, °C
2023-May-10 10:16,210993897, 2,22.93, °C
2023-May-10 10:21,210993897, 1,22.76, °C
2023-May-10 10:21,210993897, 2,22.91, °C
2023-May-10 10:26,210993897, 1,22.75, °C
2023-May-10 10:26,210993897, 2,22.9, °C
2023-May-10 10:31,210993897, 1,22.73, °C
2023-May-10 10:31,210993897, 2,22.88, °C
2023-May-10 10:36,210993897, 1,22.72, °C
2023-May-10 10:36,210993897, 2,22.86, °C
